main_category,m_value,category_mean_rating
Accessories&Peripherals,1313.0,4.145
Cameras&Photography,5384.2,4.125
ExternalDevices&DataStorage,19747.5,4.3167
"Headphones,Earbuds&Accessories",10259.5,3.9206
"Heating,Cooling&AirQuality",248.2,3.9905
HomeAudio,2625.8,4.0688
HomeStorage&Organization,870.8,4.025
"HomeTheater,TV&Video",404.8,4.0712
Kitchen&HomeAppliances,623.5,4.0534
Mobiles&Accessories,3215.5,4.1258
NetworkingDevices,10822.0,4.1633
OfficePaperProducts,2560.5,4.2889
Other,3029.0,4.2569
WearableTechnology,4497.2,4.0081
