feature,importance
num__log_rating_count,0.043932118017334154
num__discount_percentage,0.025031091811356068
"cat__main_category_Headphones,Earbuds&Accessories",0.02454060665982519
num__log_review_length,0.02163134332708654
num__log_actual_price,0.02014450759322343
num__log_discounted_price,0.01522428508950705
cat__main_category_Accessories&Peripherals,0.014832668762648969
cat__main_category_Kitchen&HomeAppliances,0.007370944832401565
"cat__main_category_Heating,Cooling&AirQuality",0.00574428752699083
cat__main_category_Mobiles&Accessories,0.0049353852215075315
cat__main_category_Other,0.00421141623442592
"cat__main_category_HomeTheater,TV&Video",0.0025007996876179202
cat__main_category_WearableTechnology,0.002379271903357481
cat__main_category_OfficePaperProducts,0.0015440926966663758
cat__main_category_HomeStorage&Organization,0.0008724348528717028
cat__main_category_ExternalDevices&DataStorage,0.0008614200308182737
cat__main_category_HomeAudio,0.00038339216969282146
cat__main_category_NetworkingDevices,0.0002816800256146559
cat__main_category_Cameras&Photography,4.512884313654568e-05
